categoria,descripcion,enlace,precio,precioOferta,precioPrevio,precio_Kg_L_ud,promocion,seccion
Todos los Vinos,"
Manzanilla D.O. Sanlúcar de Barrameda Los Jarales 75 cl.",https://www.carrefour.es/supermercado/manzanilla-d-o-sanlucar-de-barrameda-los-jarales-75-cl-los-jarales/R-520662942/p,"2,90 €",,,"2,90 €/ud",,Carnicería
Todos los Vinos,"
Vino dulce cream Canasta D.O. Jerez 75 cl.",https://www.carrefour.es/supermercado/vino-dulce-cream-canasta-d-o-jerez-75-cl-canasta/R-520662928/p,"7,90 €",,,"7,90 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Jerez dulce cream 1847 Solera 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-jerez-dulce-cream-1847-solera-75-cl-solera/R-521010328/p,"6,50 €",,,"6,50 €/ud",,Carnicería
Todos los Vinos,"
Vino dule Malvar Dulce María 75 cl.",https://www.carrefour.es/supermercado/vino-dule-malvar-dulce-maria-75-cl-dulce-maria/R-704404143/p,"3,49 €",,,"3,49 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Jerez fino La Ina 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-jerez-fino-la-ina-75-cl-la-ina/R-520662932/p,"6,75 €",,,"6,75 €/ud",,Carnicería
Todos los Vinos,"
Vino quina dulce San Clemente 1 l.",https://www.carrefour.es/supermercado/vino-quina-dulce-san-clemente-1-l-san-clemente/R-520662126/p,"4,60 €",,,"4,60 €/ud",,Carnicería
Todos los Vinos,"
Vino dulce quina Sanson 1 l.",https://www.carrefour.es/supermercado/vino-dulce-quina-sanson-1-l-sanson/R-589701918/p,"4,60 €",,,"4,60 €/ud",,Carnicería
Bio en Vinos,"
Pañales ecológicos Carrefour Baby Talla 4 maxi (7-18 Kg) 28 ud.",https://www.carrefour.es/supermercado/panales-ecologicos-carrefour-baby-talla-4-maxi-7-18-kg-28-ud-carrefour-baby/R-prod1040220/p?prtId=cat20050,"7,10 €",,,"0,25 €/ud",,Alcoholes
Bio en Vinos,"
Pañales ecológicos Carrefour Baby Talla 5 junior (11-25 Kg) 24 ud.",https://www.carrefour.es/supermercado/panales-ecologicos-carrefour-baby-talla-5-junior-11-25-kg-24-ud-carrefour-baby/R-prod1040218/p?prtId=cat20050,"7,10 €",,,"0,30 €/ud",,Alcoholes
Bio en Vinos,"
Pants soft & eco-friendly ecológico My Carrefour Baby T5 (12-18 kg) 18 ud.",https://www.carrefour.es/supermercado/pants-soft-eco-friendly-ecologico-my-carrefour-baby-t5-12-18-kg-18-ud-crf-baby/R-VC4AECOMM-512780/p?prtId=cat20050,"6,10 €",,,"0,34 €/ud",,Alcoholes
Bio en Vinos,"
Pants soft & eco-friendly ecológico My Carrefour Baby T4 (8-15 kg) 20 ud.",https://www.carrefour.es/supermercado/pants-soft-eco-friendly-ecologico-my-carrefour-baby-t4-8-15-kg-20-ud-crf-baby/R-VC4AECOMM-512789/p?prtId=cat20050,"6,10 €",,,"0,30 €/ud",,Alcoholes
Bio en Vinos,"
Pants soft & eco-friendly ecológico My Carrefour Baby T6 (+16 kg) 16 ud.",https://www.carrefour.es/supermercado/pants-soft-eco-friendly-ecologico-my-carrefour-baby-t6-16-kg-16-ud-crf-baby/R-VC4AECOMM-512784/p?prtId=cat20050,"6,10 €",,,"0,38 €/ud",,Alcoholes
Bio en Vinos,"
Pañales ecológicos Carrefour Baby Talla 3 Mini (4-9 Kg) 30 ud.",https://www.carrefour.es/supermercado/panales-ecologicos-carrefour-baby-talla-3-mini-4-9-kg-30-ud-carrefour-baby/R-prod1040124/p?prtId=cat20050,"7,10 €",,,"0,24 €/ud",,Alcoholes
Todos los Vinos,"
Manzanilla D.O. Sanlúcar de Barrameda La Gitana 75 cl.",https://www.carrefour.es/supermercado/manzanilla-d-o-sanlucar-de-barrameda-la-gitana-75-cl-la-gitana/R-520662936/p,"6,90 €",,,"6,90 €/ud",,Carnicería
Todos los Vinos,"
Vino tinto Osborne Fino Quinta D.O.Jerez-Xérès-Sherry 75 cl.",https://www.carrefour.es/supermercado/vino-tinto-osborne-fino-quinta-d-o-jerez-xeres-sherry-75-cl-quinta/R-521011825/p,"6,75 €",,,"6,75 €/ud",,Carnicería
Todos los Vinos,"
Vino Oloroso Alfonso 75 cl.",https://www.carrefour.es/supermercado/vino-oloroso-alfonso-75-cl-alfonso/R-521010358/p,"8,90 €",,,"8,90 €/ud",,Carnicería
Todos los Vinos,"
Vino dulce Tentador 75 cl.",https://www.carrefour.es/supermercado/vino-dulce-tentador-75-cl-tentador/R-521009228/p,"3,19 €",,,"3,19 €/ud",,Carnicería
Todos los Vinos,"
Vino dulce Pedro ximenez 1827 Osborne D.O.Jerez-Xérès-Sherry 75 cl.",https://www.carrefour.es/supermercado/vino-dulce-pedro-ximenez-1827-osborne-d-o-jerez-xeres-sherry-75-cl-osborne-pedro-ximenez-1827/R-521010350/p,"10,90 €",,,"10,90 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Málaga Pedro Ximénez Santopitar 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-malaga-pedro-ximenez-santopitar-75-cl-santopitar/R-824405539/p,"7,95 €",,,"7,95 €/ud",3x2,Carnicería
Todos los Vinos,"
Vino D.O. Jerez cream Nectar 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-jerez-cream-nectar-75-cl-nectar/R-546003589/p,"8,80 €",,,"8,80 €/ud",,Carnicería
Todos los Vinos,"
Vino tinto de mesa Carrefour brik 1 l.",https://www.carrefour.es/supermercado/vino-tinto-de-mesa-carrefour-brik-1-l-carrefour/R-520661412/p,"0,95 €",,,"0,95 €/l",,Carnicería
Todos los Vinos,"
Vino D.O. Utiel-Requena tinto reserva Faustino Rivero pack de 6 botellas de 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-utiel-requena-tinto-reserva-faustino-rivero-pack-de-6-botellas-de-75-cl-faustino-rivero-ulecia/R-840100460/p,,"
18,00 €","
18,50 €","18,00 €/ud",2x1 Acumulación,Carnicería
Todos los Vinos,"
Vino quina-Málaga Anibal 1 l.",https://www.carrefour.es/supermercado/vino-quina-malaga-anibal-1-l-anibal/R-590211281/p,"3,70 €",,,"3,70 €/ud",,Carnicería
Todos los Vinos,"
Vino blanco de mesa Carrefour brik 1 l.",https://www.carrefour.es/supermercado/vino-blanco-de-mesa-carrefour-brik-1-l-carrefour/R-520661414/p,"0,95 €",,,"0,95 €/l",,Carnicería
Todos los Vinos,"
Vino Carrefour blanco Carrefour brik 1 l.",https://www.carrefour.es/supermercado/vino-carrefour-blanco-carrefour-brik-1-l-producto-blanco/R-prod880829/p,"0,86 €",,,"0,86 €/l",,Carnicería
Todos los Vinos,"
Vino D.O. Rueda blanco verdejo Dama del Lago 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-rueda-blanco-verdejo-dama-del-lago-75-cl-dama-del-lago/R-715201942/p,,"
2,80 €","
3,20 €","2,80 €/ud",2x1 Acumulación,Carnicería
Todos los Vinos,"
Vino D.O. Rioja tinto crianza Carrizal 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-rioja-tinto-crianza-carrizal-75-cl-carrefour/R-783315140/p,,"
4,20 €","
4,50 €","4,20 €/ud",3x2,Carnicería
Todos los Vinos,"
Vino blanco Carrefour pack de 3 briks de 20 cl.",https://www.carrefour.es/supermercado/vino-blanco-carrefour-pack-de-3-briks-de-20-cl-carrefour/R-546003439/p,"1,07 €",,,"1,78 €/l",,Carnicería
Todos los Vinos,"
Vino blanco de mesa Don Simón brik 1 l.",https://www.carrefour.es/supermercado/vino-blanco-de-mesa-don-simon-brik-1-l-don-simon/R-520661418/p,"1,45 €",,,"1,45 €/l",,Carnicería
Todos los Vinos,"
Vino D.O. Rioja tinto crianza Bardesano 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-rioja-tinto-crianza-bardesano-75-cl-carrefour/R-702506805/p,,"
4,20 €","
4,50 €","4,20 €/ud",3x2,Carnicería
Todos los Vinos,"
Tinto de verano con limón botella La Casera 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-botella-la-casera-1-5-l-la-casera/R-520661447/p,"1,95 €",,,"1,30 €/l",,Carnicería
Todos los Vinos,"
LOTE 94. Estuche de 2 botellas de vino tinto crianza El Coto D.O. Ca. Rioja 75 cl. + 1 botella tinto crianza El Coto D.O. Ca. Rioja  50 cl.",https://www.carrefour.es/supermercado/lote-94-estuche-de-2-botellas-de-vino-tinto-crianza-el-coto-d-o-ca-rioja-75-cl-1-botella-tinto-crianza-el-coto-d-o-ca-rioja-50-cl-el-coto/R-693502443/p,"11,70 €",,,"11,70 €/ud",,Carnicería
Todos los Vinos,"
LOTE 84. Estuche con 2 botellas de vino D.O. Ribera del Duero Protos tinto roble 75 cl",https://www.carrefour.es/supermercado/lote-84-estuche-con-2-botellas-de-vino-d-o-ribera-del-duero-protos-tinto-roble-75-cl-protos/R-730010761/p,"15,50 €",,,"15,50 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Rioja tinto reserva Monte Haro Federico Paternina pack de 6 botellas de 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-rioja-tinto-reserva-monte-haro-federico-paternina-pack-de-6-botellas-de-75-cl-monte-haro/R-805525727/p,,"
21,00 €","
24,45 €","21,00 €/ud",,Carnicería
Todos los Vinos,"
LOTE 95. Estuche con 3 botellas de vino D.O. Valdepeñas Viña Albali  Tinto Reserva 75 cl",https://www.carrefour.es/supermercado/lote-95-estuche-con-3-botellas-de-vino-d-o-valdepenas-vina-albali-tinto-reserva-75-cl-vina-albali/R-678001902/p,"9,50 €",,,"9,50 €/ud",,Carnicería
Todos los Vinos,"
LOTE 93. Estuche con 3 botellas de vino D.O. Ca. Rioja Federico Paternina banda azul vendimia seleccionada tinto crianza 75 cl",https://www.carrefour.es/supermercado/lote-93-estuche-con-3-botellas-de-vino-d-o-ca-rioja-federico-paternina-banda-azul-vendimia-seleccionada-tinto-crianza-75-cl-banda-azul/R-prod970660/p,"12,00 €",,,"12,00 €/ud",,Carnicería
Todos los Vinos,"
Vino blanco verdejo Protos D.O. Rueda pack de 2 botellas de 75 cl.",https://www.carrefour.es/supermercado/vino-blanco-verdejo-protos-d-o-rueda-pack-de-2-botellas-de-75-cl-protos-verdejo/R-730010747/p,"13,60 €",,,"13,60 €/ud",,Carnicería
Todos los Vinos,"
LOTE 63. Estuche de 2 botellas de vino tinto Matsu el Pícaro D.O. Toro  75 cl. + 2 botellas de vino tinto crianza Habla del Silencio Vino de la Tierra de Extremadura 75 cl.",https://www.carrefour.es/supermercado/lote-63-estuche-de-2-botellas-de-vino-tinto-matsu-el-picaro-d-o-toro-75-cl-2-botellas-de-vino-tinto-crianza-habla-del-silencio-vino-de-la-tierra-de-extremadura-75-cl-habla-del-silencio/R-fprod1430031/p,"29,00 €",,,"29,00 €/ud",,Carnicería
Todos los Vinos,"
Vino Lambrusco rosado Amabile dell' Emilia Collezione Amore Bautista Marti 75 cl.",https://www.carrefour.es/supermercado/vino-lambrusco-rosado-amabile-dell-emilia-collezione-amore-bautista-marti-75-cl-bautista-marti/R-799715332/p,,"
3,30 €","
3,50 €","3,30 €/ud",3x2,Carnicería
Todos los Vinos,"
Vino D.O. Ribera del Duero tinto crianza Dehesas del Rey 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-ribera-del-duero-tinto-crianza-dehesas-del-rey-75-cl-carrefour/R-700507589/p,,"
6,50 €","
7,00 €","6,50 €/ud",2x1 Acumulación,Carnicería
Todos los Vinos,"
Vino blanco Chardonnay Faustino Rivero V.T.Castilla75 cl.",https://www.carrefour.es/supermercado/vino-blanco-chardonnay-faustino-rivero-v-t-castilla75-cl-faustino-rivero-ulecia/R-870701853/p,,"
3,40 €","
3,80 €","3,40 €/ud",3x2,Carnicería
Todos los Vinos,"
Vino D.O. Rioja tinto crianza Gran Vendema 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-rioja-tinto-crianza-gran-vendema-75-cl-gran-vendema/R-631307115/p,,"
4,20 €","
4,50 €","4,20 €/ud",3x2,Carnicería
Todos los Vinos,"
Vino D.O. Rías Baixas blanco albariño Pazo das Estrelas 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-rias-baixas-blanco-albarino-pazo-das-estrelas-75-cl-pazo-das-estrelas/R-785509557/p,"7,00 €",,,"7,00 €/ud",2x1 Acumulación,Carnicería
Todos los Vinos,"
Tinto de verano con limón sin alcohol Don Simón botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-sin-alcohol-don-simon-botella-1-5-l-don-simon/R-527018083/p,"1,08 €",,,"0,72 €/l",,Carnicería
Todos los Vinos,"
Sangría Don Simón botella 1,5 l.",https://www.carrefour.es/supermercado/sangria-don-simon-botella-1-5-l-don-simon/R-530014339/p,"1,75 €",,,"1,17 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano con limón Don Simón botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-don-simon-botella-1-5-l-don-simon/R-520661451/p,"1,40 €",,,"0,93 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano con limón La Casera pack de 6 latas de 33 cl.",https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-la-casera-pack-de-6-latas-de-33-cl-la-casera/R-prod810359/p,"3,39 €",,,"1,71 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano clásico La Casera botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-clasico-la-casera-botella-1-5-l-la-casera/R-520661445/p,"1,95 €",,,"1,30 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano con limón sin alcohol La Casera botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-sin-alcohol-la-casera-botella-1-5-l-la-casera/R-774909699/p,"1,98 €",,,"1,32 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano clásico sin alcohol Don Simón botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-clasico-sin-alcohol-don-simon-botella-1-5-l-don-simon/R-527018081/p,"1,08 €",,,"0,72 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano clásico Don Simón botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-clasico-don-simon-botella-1-5-l-don-simon/R-520661449/p,"1,40 €",,,"0,93 €/l",,Carnicería
Todos los Vinos,"
LOTE 86. Estuche de 2 botellas de vino tinto crianza Marqués de Cáceres D.O. Ca. Rioja 75 cl. + 1 botella tinto crianza Marqués de Cáceres D.O. Ca. Rioja 37,5 cl.",https://www.carrefour.es/supermercado/lote-86-estuche-de-2-botellas-de-vino-tinto-crianza-marques-de-caceres-d-o-ca-rioja-75-cl-1-botella-tinto-crianza-marques-de-caceres-d-o-ca-rioja-37-5-cl-marques-de-caceres/R-784712275/p,"14,60 €",,,"14,60 €/ud",,Carnicería
Todos los Vinos,"
Vino tinto reserva Federico Paternina Marqués de la Concordia D.O. Ca. Rioja pack de 12 botellas de 75 cl.",https://www.carrefour.es/supermercado/vino-tinto-reserva-federico-paternina-marques-de-la-concordia-d-o-ca-rioja-pack-de-12-botellas-de-75-cl-federico-paternina/R-814144585/p,,"
45,00 €","
58,10 €","45,00 €/ud",,Carnicería
Todos los Vinos,"
LOTE 92. Estuche de 2 botellas de vino tinto crianza Cune D.O. Ca. Rioja 75 cl. + 1 botella de vino blanco verdejo Cune D.O. Rueda 75 cl.",https://www.carrefour.es/supermercado/lote-92-estuche-de-2-botellas-de-vino-tinto-crianza-cune-d-o-ca-rioja-75-cl-1-botella-de-vino-blanco-verdejo-cune-d-o-rueda-75-cl-cune/R-730814138/p,"13,10 €",,,"13,10 €/ud",,Carnicería
Todos los Vinos,"
LOTE 75. Estuche de 2 botellas de vino tinto reserva Coto de Imaz D.O. Ca. Rioja 75 cl. + 1 botella tinto reserva Coto de Imaz D.O. Ca Rioja 50 cl.",https://www.carrefour.es/supermercado/lote-75-estuche-de-2-botellas-de-vino-tinto-reserva-coto-de-imaz-d-o-ca-rioja-75-cl-1-botella-tinto-reserva-coto-de-imaz-d-o-ca-rioja-50-cl-coto-de-imaz/R-631702436/p,"16,95 €",,,"16,95 €/ud",,Carnicería
Todos los Vinos,"
Vino tinto Tempranillo de la tierra de Castilla y León Mayor de Castilla pack de 6 botellas de 75 cl.",https://www.carrefour.es/supermercado/vino-tinto-tempranillo-de-la-tierra-de-castilla-y-leon-mayor-de-castilla-pack-de-6-botellas-de-75-cl-mayor-de-castilla/R-fprod1460313/p,"14,00 €",,,"14,00 €/ud",,Carnicería
Todos los Vinos,"
LOTE 73: 2 botellas D.O Ribera del Duero Matarromera tinto crianza 75 cl.",https://www.carrefour.es/supermercado/lote-73-2-botellas-d-o-ribera-del-duero-matarromera-tinto-crianza-75-cl-matarromera/R-prod930273/p,"35,99 €",,,"35,99 €/ud",,Carnicería
Todos los Vinos,"
LOTE 91. Estuche con 2 botellas de vino D.O. Ca. Rioja Cune tinto crianza 75 cl + bandeja",https://www.carrefour.es/supermercado/lote-91-estuche-con-2-botellas-de-vino-d-o-ca-rioja-cune-tinto-crianza-75-cl-bandeja-cune/R-prod301421/p,"13,10 €",,,"13,10 €/ud",,Carnicería
Todos los Vinos,"
LOTE 97. Estuche con 2 botellas de vino D.O. Rias Baixas Terras Gauda blanco Albariño 75 cl",https://www.carrefour.es/supermercado/lote-97-estuche-con-2-botellas-de-vino-d-o-rias-baixas-terras-gauda-blanco-albarino-75-cl-terras-gauda/R-712703631/p,"24,00 €",,,"24,00 €/ud",Cupón 20%,Carnicería
Todos los Vinos,"
Vino Lambrusco rosado Amabile dell' Emilia Bautista Marti 75 cl.",https://www.carrefour.es/supermercado/vino-lambrusco-rosado-amabile-dell-emilia-bautista-marti-75-cl-bautista-marti/R-780796875/p,"2,60 €",,,"2,60 €/ud",,Carnicería
Todos los Vinos,"
Vino Lambrusco rosado Amabile Bautista Marti 75 cl.",https://www.carrefour.es/supermercado/vino-lambrusco-rosado-amabile-bautista-marti-75-cl-bautista-marti/R-790069156/p,"1,96 €",,,"1,96 €/ud",,Carnicería
Todos los Vinos,"
Vino tinto Porto Cruz Fine Tawny D.O. Oporto 75 cl.",https://www.carrefour.es/supermercado/vino-tinto-porto-cruz-fine-tawny-d-o-oporto-75-cl-porto-cruz/R-prod460104/p,"5,95 €",,,"5,95 €/ud",,Carnicería
Todos los Vinos,"
Vino portugués rosado joven Mateus 75 cl.",https://www.carrefour.es/supermercado/vino-portugues-rosado-joven-mateus-75-cl-mateus/R-521007940/p,"3,99 €",,,"3,99 €/ud",,Carnicería
Todos los Vinos,"
Vino italiano Moscato Spumante blanco Caldirola 75 cl.",https://www.carrefour.es/supermercado/vino-italiano-moscato-spumante-blanco-caldirola-75-cl-caldirola/R-589802048/p,"3,90 €",,,"3,90 €/ud",,Carnicería
Todos los Vinos,"
Vino Lambrusco tinto Monteberin 75 cl.",https://www.carrefour.es/supermercado/vino-lambrusco-tinto-monteberin-75-cl-monteberin/R-626501655/p,"3,00 €",,,"3,00 €/ud",,Carnicería
Todos los Vinos,"
Vino Lambrusco blanco Amabile dell' Emilia Bautista Marti 75 cl.",https://www.carrefour.es/supermercado/vino-lambrusco-blanco-amabile-dell-emilia-bautista-marti-75-cl-bautista-marti/R-789855664/p,"2,65 €",,,"2,65 €/ud",,Carnicería
Todos los Vinos,"
Vino Moscato blanco Bonne Chance 75 cl.",https://www.carrefour.es/supermercado/vino-moscato-blanco-bonne-chance-75-cl-bonne-chance/R-764802373/p,,"
2,60 €","
3,50 €","2,60 €/ud",3x2,Carnicería
Todos los Vinos,"
Vino de oporto Tawny 75 cl.",https://www.carrefour.es/supermercado/vino-de-oporto-tawny-75-cl-tawny/R-546003765/p,"9,20 €",,,"9,20 €/ud",,Carnicería
Todos los Vinos,"
Vino tinto de Francia A.C. Bordeaux Grand Moment 75 cl.",https://www.carrefour.es/supermercado/vino-tinto-de-francia-a-c-bordeaux-grand-moment-75-cl-grand-moment/R-521032999/p,"5,95 €",,,"5,95 €/ud",,Carnicería
Todos los Vinos,"
Vino tinto crianza Cune D.O.Ca Rioja75 cl.",https://www.carrefour.es/supermercado/vino-tinto-crianza-cune-d-o-ca-rioja75-cl-cune/R-520662399/p,"6,55 €",,,"6,55 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Valdepeñas tinto crianza Viña Albali 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-valdepenas-tinto-crianza-vina-albali-75-cl-vina-albali/R-520662784/p,"2,39 €",,,"2,39 €/ud",,Carnicería
Todos los Vinos,"
Vino blanco verdejo Cuvi D.O. Rueda 75 cl.",https://www.carrefour.es/supermercado/vino-blanco-verdejo-cuvi-d-o-rueda-75-cl-yllera/R-fprod1320210/p,,"
2,80 €","
3,39 €","2,80 €/ud",2x1 Acumulación,Carnicería
Todos los Vinos,"
Vino blanco Fuenteviña botella 75 cl.",https://www.carrefour.es/supermercado/vino-blanco-fuentevina-botella-75-cl-/R-814300317/p,"0,91 €",,,"1,21 €/l",,Carnicería
Todos los Vinos,"
Vino blanco Don Simón pack de 3 briks de 18,7 cl.",https://www.carrefour.es/supermercado/vino-blanco-don-simon-pack-de-3-briks-de-18-7-cl-don-simon/R-prod590589/p,"1,03 €",,,"1,84 €/l",,Carnicería
Todos los Vinos,"
Vino D.O. Rueda blanco moralinos verdejo Pagos del Rey 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-rueda-blanco-moralinos-verdejo-pagos-del-rey-75-cl-pagos-del-rey/R-742134715/p,"2,80 €",,,"2,80 €/ud",2x1 Acumulación,Carnicería
Todos los Vinos,"
Vino D.O. Mancha tinto tempranillo Viña Lobón 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-mancha-tinto-tempranillo-vina-lobon-75-cl-vina-lobon/R-789105164/p,"1,15 €",,,"1,15 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Valdepeñas Blanco Airén Viña Lobón 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-valdepenas-blanco-airen-vina-lobon-75-cl-vina-lobon/R-prod212106/p,"1,22 €",,,"1,22 €/ud",,Carnicería
Todos los Vinos,"
Vino D.O. Utiel-Requena tinto reserva Faustino Rivero pack de 6 botellas de 75 cl.",https://www.carrefour.es/supermercado/vino-d-o-utiel-requena-tinto-reserva-faustino-rivero-pack-de-6-botellas-de-75-cl-faustino-rivero-ulecia/R-840100460/p,,"
18,00 €","
18,50 €","18,00 €/ud",2x1 Acumulación,Carnicería
Todos los Vinos,"
Tinto de verano con limón La Casera lata 33 cl.",https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-la-casera-lata-33-cl-la-casera/R-654701737/p,"0,68 €",,,"2,06 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano con limón sin alcohol Don Simón botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-sin-alcohol-don-simon-botella-1-5-l-don-simon/R-840100462/p,"1,08 €",,,"0,72 €/l",,Carnicería
Todos los Vinos,"
Distinto con vino de verdejo y limón La Casera botella 1,5 l.",https://www.carrefour.es/supermercado/distinto-con-vino-de-verdejo-y-limon-la-casera-botella-1-5-l-la-casera/R-fprod1200278/p,"1,90 €",,,"1,27 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano clásico sin alcohol La Casera botella 1,5 l.",https://www.carrefour.es/supermercado/tinto-de-verano-clasico-sin-alcohol-la-casera-botella-1-5-l-la-casera/R-774909695/p,"1,98 €",,,"1,32 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano con gaseosa La Casera lata 33 cl.",https://www.carrefour.es/supermercado/tinto-de-verano-con-gaseosa-la-casera-lata-33-cl-la-casera/R-682908946/p,"0,76 €",,,"2,30 €/l",,Carnicería
Todos los Vinos,"
Instinto de verano blanco verdejo Don Simón botella 1,5 l.",https://www.carrefour.es/supermercado/instinto-de-verano-blanco-verdejo-don-simon-botella-1-5-l-don-simon/R-prod410510/p,"1,49 €",,,"0,99 €/l",,Carnicería
Todos los Vinos,"
Distinto de verano La Casera con vino blanco Verdejo y con limón lata 33 cl.",https://www.carrefour.es/supermercado/distinto-de-verano-la-casera-con-vino-blanco-verdejo-y-con-limon-lata-33-cl-la-casera/R-VC4AECOMM-488633/p,"0,74 €",,,"2,24 €/l",,Carnicería
Todos los Vinos,"
Tinto de verano limón sin alcohol Don Simón lata 33 cl.",https://www.carrefour.es/supermercado/tinto-de-verano-limon-sin-alcohol-don-simon-lata-33-cl-don-simon/R-840026662/p,"0,61 €",,,"1,85 €/l",,Carnicería
Todos los Vinos,"
Vino tinto crianza Otoñal D.O. Ca. Rioja pack de 6 botellas de 75 cl.",https://www.carrefour.es/supermercado/vino-tinto-crianza-otonal-d-o-ca-rioja-pack-de-6-botellas-de-75-cl-otonal/R-668105679/p,,"
18,00 €","
22,95 €","18,00 €/ud",,Carnicería
